mode,step,simulation_time_ms,sync_error_ms,camera_audio_offset_ms,pose_command_offset_ms,fault_type,severity,message_drop_rate_proxy
M1,36,3600.0,6.8845,7.353,5.2986,,,
M1,37,3700.0,10.7351,6.1386,10.1781,,,
M1,38,3800.0,8.2985,1.744,5.6472,,,
M1,39,3900.0,3.0951,0.8531,9.7391,,,
M1,40,4000.0,14.8692,14.4747,6.5072,,,
M1,41,4100.0,30.1388,11.1439,2.7744,,,
M1,42,4200.0,10.4012,4.1216,13.2803,,,
M1,43,4300.0,8.2272,10.3733,7.7484,,,
M1,44,4400.0,3.3533,5.4191,7.6346,,,
M1,45,4500.0,17.249,7.2206,10.5844,,,
M1,46,4600.0,16.2858,1.1837,2.5754,,,
M1,47,4700.0,7.0609,3.3836,14.5045,,,
M1,48,4800.0,13.115,11.2741,5.1635,,,
M1,49,4900.0,4.1748,4.552,12.9987,,,
M1,50,5000.0,33.8148,17.0496,6.9286,,,
M1,51,5100.0,13.7568,14.7617,10.619,,,
M1,52,5200.0,24.1089,11.8642,0.4352,,,
M1,53,5300.0,15.9363,9.7503,3.8698,,,
M1,54,5400.0,2.6412,9.6219,8.7205,,,
M1,55,5500.0,8.9422,5.5354,14.341,,,
M1,56,5600.0,10.1718,15.3712,1.0734,,,
M1,57,5700.0,4.5835,1.8375,6.112,,,
M1,58,5800.0,13.0598,12.9238,9.6604,,,
M1,59,5900.0,26.7296,21.7367,6.2539,,,
M1,60,6000.0,8.9829,3.8637,14.0829,,,
M1,61,6100.0,31.6054,23.9525,14.925,,,
M1,62,6200.0,10.1224,0.9268,13.3904,,,
M1,63,6300.0,11.9953,1.6882,17.3556,,,
M1,64,6400.0,10.1427,13.9094,8.8802,,,
M1,65,6500.0,16.8927,8.8365,16.9097,,,
M1,66,6600.0,11.1797,0.1416,6.9685,,,
M1,67,6700.0,18.4956,14.0405,6.6439,,,
M1,68,6800.0,15.9622,28.9008,12.2569,,,
M1,69,6900.0,10.6179,10.3595,11.6365,,,
M1,70,7000.0,16.8146,20.9077,3.8914,,,
M1,71,7100.0,10.1664,9.1753,11.9228,,,
M1,72,7200.0,10.5855,5.2416,15.3224,,,
M1,73,7300.0,6.7032,5.4561,12.7729,,,
M1,74,7400.0,15.4318,9.1534,12.9156,,,
M1,75,7500.0,12.0093,1.5681,18.882,,,
M1,76,7600.0,19.6307,14.9904,2.1246,,,
M1,77,7700.0,5.3379,1.0232,17.024,,,
M1,78,7800.0,13.3354,5.2625,3.4588,,,
M1,79,7900.0,9.0241,2.0997,12.4643,,,
M1,80,8000.0,9.0282,0.2456,15.7684,,,
M1,81,8100.0,19.1487,18.1845,13.9908,,,
M1,82,8200.0,4.9398,5.239,13.994,,,
M1,83,8300.0,13.5131,10.6933,12.6077,,,
M2,0,0.0,5.5783,12.3222,10.609,,,
M2,1,100.0,2.1436,2.3039,3.5416,,,
M2,2,200.0,8.286,0.4478,14.5125,,,
M2,3,300.0,7.4899,2.5273,7.6119,,,
M2,4,400.0,8.9752,19.4398,7.7667,,,
M2,5,500.0,8.6512,0.5422,11.4414,,,
M2,6,600.0,14.1531,11.8768,20.2738,,,
M2,7,700.0,13.9682,10.9381,14.416,,,
M2,8,800.0,14.338,14.0896,14.4373,,,
M2,9,900.0,13.3022,22.9304,19.306,,,
M2,10,1000.0,23.0569,15.0936,11.8805,,,
M2,11,1100.0,4.0652,0.2387,8.3613,,,
M2,12,1200.0,12.8819,16.6858,12.7404,,,
M2,13,1300.0,19.2844,12.9073,0.5348,,,
M2,14,1400.0,18.0258,16.1431,18.3956,,,
M2,15,1500.0,4.2195,3.5627,14.0791,,,
M2,16,1600.0,21.7253,15.097,10.4392,,,
M2,17,1700.0,21.6647,2.2581,14.084,,,
M2,18,1800.0,16.2678,15.6206,10.1035,,,
M2,19,1900.0,13.8645,16.0459,3.8357,,,
M2,20,2000.0,4.9847,2.8858,7.9985,,,
M2,21,2100.0,21.1161,2.2282,1.3629,,,
M2,22,2200.0,13.8452,1.819,6.2493,,,
M2,23,2300.0,13.6204,5.0202,8.0762,,,
M2,24,2400.0,16.0532,12.9567,13.1717,,,
M2,25,2500.0,5.4838,4.3131,7.2283,,,
M2,26,2600.0,20.681,15.3434,13.917,,,
M2,27,2700.0,7.6759,2.4473,11.986,,,
M2,28,2800.0,27.089,17.8724,8.2132,,,
M2,29,2900.0,16.0427,3.197,1.7867,,,
M2,30,3000.0,21.0839,12.9979,2.9505,,,
M2,31,3100.0,15.5785,8.5341,10.2952,,,
M2,32,3200.0,11.9991,12.8742,8.1068,,,
M2,33,3300.0,3.7663,2.2907,8.9957,,,
M2,34,3400.0,26.8125,21.2995,5.7048,,,
M2,35,3500.0,19.4393,21.8536,3.3576,,,
M2,36,3600.0,5.6519,0.8507,6.5617,,,
M2,37,3700.0,10.6296,6.7606,1.1164,,,
M2,38,3800.0,12.879,6.5222,6.116,,,
M2,39,3900.0,16.9632,10.5194,12.8683,,,
M2,40,4000.0,6.8293,6.5214,14.5729,,,
M2,41,4100.0,20.0258,8.4035,17.0258,,,
M2,42,4200.0,28.3907,23.6073,13.8316,,,
M2,43,4300.0,10.5641,1.232,5.4426,,,
M2,44,4400.0,4.0087,2.6268,9.905,,,
M2,45,4500.0,19.7128,19.2144,13.1073,,,
M2,46,4600.0,7.2734,1.0181,0.6081,,,
M2,47,4700.0,12.0167,8.4013,7.5328,,,
M2,48,4800.0,15.8287,3.2435,16.3963,,,
M2,49,4900.0,16.8366,7.7721,9.4909,,,
M2,50,5000.0,3.5146,2.5306,6.3355,,,
M2,51,5100.0,13.2891,14.7256,13.1281,,,
M2,52,5200.0,12.1669,9.2421,5.6845,,,
M2,53,5300.0,19.2913,7.4334,3.0936,,,
M2,54,5400.0,12.6542,1.2216,10.248,,,
M2,55,5500.0,27.8521,19.8632,4.042,,,
M2,56,5600.0,34.4908,24.2091,10.4516,,,
M2,57,5700.0,15.2972,8.8714,18.6719,,,
M2,58,5800.0,18.7906,2.993,3.586,,,
M2,59,5900.0,6.1209,0.9403,9.769,,,
M2,60,6000.0,35.0494,22.5313,18.3338,,,
M2,61,6100.0,6.4804,7.6749,7.8982,,,
M2,62,6200.0,19.542,3.1737,5.804,,,
M2,63,6300.0,4.5069,1.2395,11.6453,,,
M2,64,6400.0,15.8198,12.5517,7.0445,,,
M2,65,6500.0,13.6539,12.165,15.6159,,,
M2,66,6600.0,13.0651,0.804,17.6116,,,
M2,67,6700.0,18.4538,16.9046,17.1711,,,
M2,68,6800.0,4.9307,2.7985,9.8702,,,
M2,69,6900.0,3.8263,0.9915,8.3629,,,
M2,70,7000.0,15.7983,12.4687,11.5901,,,
M2,71,7100.0,8.9114,4.877,7.0637,,,
M2,72,7200.0,7.2237,0.353,7.0563,,,
M2,73,7300.0,12.8636,3.5099,4.8691,,,
M2,74,7400.0,12.4799,10.0427,7.2061,,,
M2,75,7500.0,5.8907,2.4967,3.0856,,,
M2,76,7600.0,15.7504,1.3019,7.3337,,,
M2,77,7700.0,18.3736,5.7374,13.6379,,,
M2,78,7800.0,13.0839,4.9417,10.6004,,,
M2,79,7900.0,9.7699,5.6774,9.8443,,,
M2,80,8000.0,5.6844,0.8772,13.9967,,,
M2,81,8100.0,5.5093,9.4979,14.3285,,,
M2,82,8200.0,11.9189,8.628,14.7384,,,
M2,83,8300.0,3.8863,3.3107,12.8016,,,
M3,0,0.0,18.3412,6.8497,17.7736,,,
M3,1,100.0,18.222,10.1357,9.6701,,,
M3,2,200.0,24.4481,1.9716,17.1086,,,
M3,3,300.0,4.5632,2.8151,2.9982,,,
M3,4,400.0,13.4663,5.4047,13.3917,,,
M3,5,500.0,9.538,5.6847,17.4403,,,
M3,6,600.0,17.2483,16.7734,11.1809,,,
M3,7,700.0,19.8706,12.385,13.4423,,,
M3,8,800.0,22.569,13.2206,12.3856,,,
M3,9,900.0,10.1254,4.8377,10.5784,,,
M3,10,1000.0,12.3282,3.3789,18.7995,,,
M3,11,1100.0,5.1011,1.689,14.338,,,
M3,12,1200.0,9.168,10.4916,13.1161,,,
M3,13,1300.0,6.8351,5.744,14.0337,,,
M3,14,1400.0,39.0407,33.6185,11.9417,,,
M3,15,1500.0,14.9389,2.5383,9.1041,,,
M3,16,1600.0,11.2502,12.9295,16.5952,,,
M3,17,1700.0,5.8543,3.5637,10.0872,,,
M3,18,1800.0,27.2775,5.9591,3.9979,,,
M3,19,1900.0,15.0372,0.597,14.3519,,,
M3,20,2000.0,18.1187,10.6377,7.2031,,,
M3,21,2100.0,15.1972,7.5592,18.6454,,,
M3,22,2200.0,15.9631,6.7672,11.3221,,,
M3,23,2300.0,12.6408,6.0076,11.6628,,,
M3,24,2400.0,10.7352,1.4713,7.8563,,,
M3,25,2500.0,19.2966,15.4013,13.8838,,,
M3,26,2600.0,25.2514,25.8688,5.481,,,
M3,27,2700.0,9.953,2.9564,0.4311,,,
M3,28,2800.0,24.4506,10.9647,14.7353,,,
M3,29,2900.0,11.8593,1.6333,12.5523,,,
M3,30,3000.0,18.5867,10.4472,1.8638,,,
M3,31,3100.0,11.3415,15.9284,0.5781,,,
M3,32,3200.0,6.1219,5.5931,14.6787,,,
M3,33,3300.0,9.0267,2.5449,8.1643,,,
M3,34,3400.0,9.3775,0.1401,6.074,,,
M3,35,3500.0,11.5726,18.8834,17.6293,,,
M3,36,3600.0,10.6869,3.8464,9.3269,,,
M3,37,3700.0,6.2475,0.4785,8.4813,,,
M3,38,3800.0,16.5791,13.0914,12.1465,,,
M3,39,3900.0,14.7953,7.715,2.3623,,,
M3,40,4000.0,10.0592,11.6406,6.1139,,,
M3,41,4100.0,4.5307,1.1726,12.9464,,,
M3,42,4200.0,13.3468,5.1958,15.3157,,,
M3,43,4300.0,5.9914,18.9926,14.9294,,,
M3,44,4400.0,5.6663,5.8279,12.0365,,,
M3,45,4500.0,1.8677,13.6509,9.3372,,,
M3,46,4600.0,10.6364,9.4853,3.2944,,,
M3,47,4700.0,8.9574,0.9023,5.3266,,,
M3,48,4800.0,17.398,0.0712,9.8421,,,
M3,49,4900.0,14.2427,9.155,4.3521,,,
M3,50,5000.0,6.203,8.7103,12.7761,,,
M3,51,5100.0,23.0189,12.9965,8.7564,,,
M3,52,5200.0,9.4205,5.3121,9.9162,,,
M3,53,5300.0,11.1316,0.7228,13.68,,,
M3,54,5400.0,9.2261,9.2636,2.6924,,,
M3,55,5500.0,4.1972,8.7122,12.35,,,
M3,56,5600.0,20.4965,17.2939,5.1733,,,
M3,57,5700.0,7.5957,1.5203,6.7572,,,
M3,58,5800.0,20.0279,1.6615,3.5938,,,
M3,59,5900.0,12.4219,2.2183,1.4095,,,
M3,60,6000.0,6.1159,2.7625,7.3553,,,
M3,61,6100.0,7.6757,2.4857,14.5584,,,
M3,62,6200.0,15.423,17.24,11.033,,,
M3,63,6300.0,12.0324,4.3495,10.9424,,,
M3,64,6400.0,17.8752,6.9611,11.5084,,,
M3,65,6500.0,19.285,10.4467,12.6037,,,
M3,66,6600.0,21.4831,3.4691,6.1132,,,
M3,67,6700.0,9.4877,0.2013,9.2706,,,
M3,68,6800.0,8.8053,9.2664,10.6824,,,
M3,69,6900.0,14.8471,4.3274,1.9288,,,
M3,70,7000.0,9.8714,13.8418,10.858,,,
M3,71,7100.0,5.3619,7.6365,10.0418,,,
M3,72,7200.0,11.0339,8.2158,12.4232,,,
M3,73,7300.0,13.1479,6.0495,10.396,,,
M3,74,7400.0,11.2081,5.1978,15.7261,,,
M3,75,7500.0,15.209,14.2556,16.8589,,,
M3,76,7600.0,23.8802,16.4044,8.2269,,,
M3,77,7700.0,23.4599,12.5911,12.2522,,,
M3,78,7800.0,14.5578,18.3127,15.14,,,
M3,79,7900.0,28.4306,20.3476,10.2449,,,
M3,80,8000.0,14.2993,14.8802,5.9979,,,
M3,81,8100.0,10.8012,5.1924,10.2386,,,
M3,82,8200.0,2.8864,2.8337,4.0004,,,
M3,83,8300.0,7.7979,3.4271,3.6446,,,
M4,0,0.0,39.52986120275024,0.7996,13.2884,delay,mild,0.0
M4,1,100.0,48.50684610654424,15.138,19.7452,delay,mild,0.0
M4,2,200.0,29.39265710562627,15.7933,10.7283,delay,mild,0.0
M4,3,300.0,37.02563677446967,5.2372,12.2688,delay,mild,0.0
M4,4,400.0,36.84087923463003,1.097,4.6418,delay,mild,0.0
M4,5,500.0,45.742341580556555,6.4971,11.3412,delay,mild,0.0
M4,6,600.0,32.61960940039536,6.3891,4.0474,delay,mild,0.0
M4,7,700.0,38.62160533352821,1.2389,1.0744,delay,mild,0.0
M4,8,800.0,28.728743388622306,9.289,11.5016,delay,mild,0.0
M4,9,900.0,38.200446336431035,7.1671,17.2732,delay,mild,0.0
M4,10,1000.0,40.20611895653393,8.9474,8.7622,delay,mild,0.0
M4,11,1100.0,45.75787055067313,10.51,1.1291,delay,mild,0.0
M4,12,1200.0,24.472469950135935,5.8735,12.9286,delay,mild,0.0
M4,13,1300.0,39.56385757248395,4.3624,16.9082,delay,mild,0.0
M4,14,1400.0,33.37121125186355,1.6784,11.6638,delay,mild,0.0
M4,15,1500.0,29.282806955375094,6.8051,9.3187,delay,mild,0.0
M4,16,1600.0,54.738199961211556,8.0848,8.954,delay,mild,0.0
M4,17,1700.0,32.56507224207302,3.7859,11.5505,delay,mild,0.0
M4,18,1800.0,34.26237437741546,8.8497,13.0019,delay,mild,0.0
M4,19,1900.0,43.78047003217512,1.8089,8.6306,delay,mild,0.0
M4,20,2000.0,44.699753454159904,2.9516,4.0939,delay,mild,0.0
M4,21,2100.0,39.8644189507654,4.2328,3.8042,delay,mild,0.0
M4,22,2200.0,36.23002686676754,4.5269,11.9577,delay,mild,0.0
M4,23,2300.0,40.34407631736224,8.0019,3.9539,delay,mild,0.0
M4,24,2400.0,33.50944770684393,3.9708,6.9044,delay,mild,0.0
M4,25,2500.0,42.359000547040154,3.174,12.6219,delay,mild,0.0
M4,26,2600.0,53.433575036787424,13.9059,11.6923,delay,mild,0.0
M4,27,2700.0,48.46108195185715,3.1627,1.6282,delay,mild,0.0
M4,28,2800.0,40.178474241355765,3.0544,3.7547,delay,mild,0.0
M4,29,2900.0,50.60542711814092,16.7857,13.6523,delay,mild,0.0
M4,30,3000.0,42.58489773600092,18.3389,10.784,delay,mild,0.0
M4,31,3100.0,36.17117511443101,14.7712,12.8186,delay,mild,0.0
M4,32,3200.0,33.69019135352451,8.927,6.5183,delay,mild,0.0
M4,33,3300.0,31.366346792041924,12.9618,12.3536,delay,mild,0.0
M4,34,3400.0,20.182385184211746,6.6608,13.726,delay,mild,0.0
M4,35,3500.0,34.84292345302774,13.738,9.3992,delay,mild,0.0
M4,36,3600.0,50.75473816666915,0.1466,16.6606,delay,mild,0.0
M4,37,3700.0,35.006798502221336,7.7882,6.0443,delay,mild,0.0
M4,38,3800.0,40.46936179892687,3.6565,12.0129,delay,mild,0.0
M4,39,3900.0,40.17622760693348,6.6902,3.6703,delay,mild,0.0
M4,40,4000.0,30.83355187018337,4.1899,10.2241,delay,mild,0.0
M4,41,4100.0,31.0002692990726,12.7712,6.2603,delay,mild,0.0
M4,42,4200.0,51.79671337345629,6.6162,21.0098,delay,mild,0.0
M4,43,4300.0,50.83870260180937,8.403,4.8196,delay,mild,0.0
M4,44,4400.0,54.38572046410044,13.6933,12.4679,delay,mild,0.0
M4,45,4500.0,57.77143191618548,20.3745,11.6065,delay,mild,0.0
M4,46,4600.0,25.112289804569905,0.2684,13.4434,delay,mild,0.0
M4,47,4700.0,53.23780792850509,8.2265,2.7582,delay,mild,0.0
M4,48,4800.0,36.65054893964524,3.8252,10.7306,delay,mild,0.0
M4,49,4900.0,46.8018295641762,6.2354,4.2389,delay,mild,0.0
M4,50,5000.0,71.26312261665255,28.368,11.9424,delay,mild,0.0
M4,51,5100.0,32.20385700980552,11.7616,12.8995,delay,mild,0.0
M4,52,5200.0,44.98051738686108,11.1314,7.1255,delay,mild,0.0
M4,53,5300.0,54.6073629799659,9.338,5.5091,delay,mild,0.0
M4,54,5400.0,35.26975875481027,3.6552,6.6189,delay,mild,0.0
M4,55,5500.0,34.7975399656022,6.8771,8.21,delay,mild,0.0
M4,56,5600.0,41.12189599727678,12.1783,7.9756,delay,mild,0.0
M4,57,5700.0,46.5569963569416,18.9171,10.6564,delay,mild,0.0
M4,58,5800.0,37.34861467165215,4.7734,3.6151,delay,mild,0.0
M4,59,5900.0,48.413074524874375,2.3378,7.7147,delay,mild,0.0
M4,60,6000.0,47.182561135928516,3.0469,6.3642,delay,mild,0.0
M4,61,6100.0,45.517403662342524,8.899,7.1543,delay,mild,0.0
M4,62,6200.0,47.454555181419366,6.6888,10.1577,delay,mild,0.0
M4,63,6300.0,39.55708847774327,9.4492,7.1918,delay,mild,0.0
M4,64,6400.0,33.51905355004022,1.1024,5.8162,delay,mild,0.0
M4,65,6500.0,37.680577880701975,8.9812,9.2379,delay,mild,0.0
M4,66,6600.0,28.086969491379264,7.728,7.5954,delay,mild,0.0
M4,67,6700.0,35.269018545868676,11.2378,10.3643,delay,mild,0.0
M4,68,6800.0,40.915296938023545,6.0268,19.2768,delay,mild,0.0
M4,69,6900.0,42.09712234325779,13.5178,14.2185,delay,mild,0.0
M4,70,7000.0,34.168671624315415,10.1801,10.841,delay,mild,0.0
M4,71,7100.0,37.49507308956617,14.17,12.3917,delay,mild,0.0
M4,72,7200.0,29.282019391643168,4.6289,9.7682,delay,mild,0.0
M4,73,7300.0,42.957612737902735,11.5358,15.1481,delay,mild,0.0
M4,74,7400.0,58.65857961762084,14.9293,16.437,delay,mild,0.0
M4,75,7500.0,26.589283826141347,6.3108,15.634,delay,mild,0.0
M4,76,7600.0,45.32757915400758,5.8126,6.7685,delay,mild,0.0
M4,77,7700.0,47.06037677921798,17.7845,11.7623,delay,mild,0.0
M4,78,7800.0,43.25030545591908,15.0286,14.9449,delay,mild,0.0
M4,79,7900.0,58.36726669889326,23.3462,11.7268,delay,mild,0.0
M4,80,8000.0,47.24324503981657,13.6239,13.2608,delay,mild,0.0
M4,81,8100.0,30.951348662924552,1.0272,11.8407,delay,mild,0.0
M4,82,8200.0,42.43258429207704,14.1033,16.5511,delay,mild,0.0
M4,83,8300.0,46.81409182102847,4.844,4.1127,delay,mild,0.0
M4,0,0.0,76.4414656817144,0.7996,13.2884,delay,severe,0.0
M4,1,100.0,74.02253164690846,15.138,19.7452,delay,severe,0.0
M4,2,200.0,86.12644296249626,15.7933,10.7283,delay,severe,0.0
M4,3,300.0,36.92470293594321,5.2372,12.2688,delay,severe,0.0
M4,4,400.0,72.9293591723465,1.097,4.6418,delay,severe,0.0
M4,5,500.0,94.93442314656187,6.4971,11.3412,delay,severe,0.0
M4,6,600.0,71.3665019535389,6.3891,4.0474,delay,severe,0.0
M4,7,700.0,64.33178909367368,1.2389,1.0744,delay,severe,0.0
M4,8,800.0,59.75819489007364,9.289,11.5016,delay,severe,0.0
M4,9,900.0,32.789184117045004,7.1671,17.2732,delay,severe,0.0
M4,10,1000.0,66.44457241423312,8.9474,8.7622,delay,severe,0.0
M4,11,1100.0,98.90047921517615,10.51,1.1291,delay,severe,0.0
M4,12,1200.0,60.369661263452755,5.8735,12.9286,delay,severe,0.0
M4,13,1300.0,67.11627893198285,4.3624,16.9082,delay,severe,0.0
M4,14,1400.0,36.674129381490296,1.6784,11.6638,delay,severe,0.0
M4,15,1500.0,53.15027089642413,6.8051,9.3187,delay,severe,0.0
M4,16,1600.0,102.44138850039653,8.0848,8.954,delay,severe,0.0
M4,17,1700.0,79.26491712926185,3.7859,11.5505,delay,severe,0.0
M4,18,1800.0,52.12765355984796,8.8497,13.0019,delay,severe,0.0
M4,19,1900.0,67.36508651797492,1.8089,8.6306,delay,severe,0.0
M4,20,2000.0,79.32188719801704,2.9516,4.0939,delay,severe,0.0
M4,21,2100.0,53.12741174980541,4.2328,3.8042,delay,severe,0.0
M4,22,2200.0,46.931785630809586,4.5269,11.9577,delay,severe,0.0
M4,23,2300.0,68.9085545758479,8.0019,3.9539,delay,severe,0.0
M4,24,2400.0,77.78841987042537,3.9708,6.9044,delay,severe,0.0
M4,25,2500.0,84.59920247621935,3.174,12.6219,delay,severe,0.0
M4,26,2600.0,100.26512339759005,13.9059,11.6923,delay,severe,0.0
M4,27,2700.0,56.26689833508247,3.1627,1.6282,delay,severe,0.0
M4,28,2800.0,73.66062673757713,3.0544,3.7547,delay,severe,0.0
M4,29,2900.0,86.50478090079231,16.7857,13.6523,delay,severe,0.0
M4,30,3000.0,82.21141040303931,18.3389,10.784,delay,severe,0.0
M4,31,3100.0,70.50475712912208,14.7712,12.8186,delay,severe,0.0
M4,32,3200.0,66.00452547149477,8.927,6.5183,delay,severe,0.0
M4,33,3300.0,32.43043364098153,12.9618,12.3536,delay,severe,0.0
M4,34,3400.0,86.21630628798943,6.6608,13.726,delay,severe,0.0
M4,35,3500.0,85.75836231665124,13.738,9.3992,delay,severe,0.0
M4,36,3600.0,55.06224297448889,0.1466,16.6606,delay,severe,0.0
M4,37,3700.0,82.56964314189858,7.7882,6.0443,delay,severe,0.0
M4,38,3800.0,59.78633270197941,3.6565,12.0129,delay,severe,0.0
M4,39,3900.0,68.89168757015177,6.6902,3.6703,delay,severe,0.0
M4,40,4000.0,57.37429557915354,4.1899,10.2241,delay,severe,0.0
M4,41,4100.0,84.5209266171317,12.7712,6.2603,delay,severe,0.0
M4,42,4200.0,77.57116999877321,6.6162,21.0098,delay,severe,0.0
M4,43,4300.0,61.1299143947316,8.403,4.8196,delay,severe,0.0
M4,44,4400.0,97.88432734848394,13.6933,12.4679,delay,severe,0.0
M4,45,4500.0,90.62166026326585,20.3745,11.6065,delay,severe,0.0
M4,46,4600.0,66.93949054010909,0.2684,13.4434,delay,severe,0.0
M4,47,4700.0,105.67529768387331,8.2265,2.7582,delay,severe,0.0
M4,48,4800.0,69.41988618815353,3.8252,10.7306,delay,severe,0.0
M4,49,4900.0,69.57875558294361,6.2354,4.2389,delay,severe,0.0
M4,50,5000.0,102.75281377611971,28.368,11.9424,delay,severe,0.0
M4,51,5100.0,46.44921356550727,11.7616,12.8995,delay,severe,0.0
M4,52,5200.0,86.89438665475501,11.1314,7.1255,delay,severe,0.0
M4,53,5300.0,71.73513957146086,9.338,5.5091,delay,severe,0.0
M4,54,5400.0,90.11781629437208,3.6552,6.6189,delay,severe,0.0
M4,55,5500.0,79.13988657589871,6.8771,8.21,delay,severe,0.0
M4,56,5600.0,81.14777699765042,12.1783,7.9756,delay,severe,0.0
M4,57,5700.0,66.2363789202362,18.9171,10.6564,delay,severe,0.0
M4,58,5800.0,76.71656446756653,4.7734,3.6151,delay,severe,0.0
M4,59,5900.0,73.21376815420011,2.3378,7.7147,delay,severe,0.0
M4,60,6000.0,75.16610535832163,3.0469,6.3642,delay,severe,0.0
M4,61,6100.0,38.61728452354365,8.899,7.1543,delay,severe,0.0
M4,62,6200.0,62.1941482427466,6.6888,10.1577,delay,severe,0.0
M4,63,6300.0,94.81287052376263,9.4492,7.1918,delay,severe,0.0
M4,64,6400.0,79.28484446409185,1.1024,5.8162,delay,severe,0.0
M4,65,6500.0,69.71667813528467,8.9812,9.2379,delay,severe,0.0
M4,66,6600.0,55.66589348239289,7.728,7.5954,delay,severe,0.0
M4,67,6700.0,57.6716451537807,11.2378,10.3643,delay,severe,0.0
M4,68,6800.0,78.23808057123937,6.0268,19.2768,delay,severe,0.0
M4,69,6900.0,76.71814766570715,13.5178,14.2185,delay,severe,0.0
M4,70,7000.0,93.95926056644188,10.1801,10.841,delay,severe,0.0
M4,71,7100.0,73.0211079198551,14.17,12.3917,delay,severe,0.0
M4,72,7200.0,69.00948689142346,4.6289,9.7682,delay,severe,0.0
M4,73,7300.0,63.16725144722481,11.5358,15.1481,delay,severe,0.0
M4,74,7400.0,86.03561084752003,14.9293,16.437,delay,severe,0.0
M4,75,7500.0,76.69157967095181,6.3108,15.634,delay,severe,0.0
M4,76,7600.0,67.66290004301538,5.8126,6.7685,delay,severe,0.0
M4,77,7700.0,76.44840052996074,17.7845,11.7623,delay,severe,0.0
M4,78,7800.0,81.16693475861452,15.0286,14.9449,delay,severe,0.0
M4,79,7900.0,112.22432594185386,23.3462,11.7268,delay,severe,0.0
M4,80,8000.0,90.5211711843096,13.6239,13.2608,delay,severe,0.0
M4,81,8100.0,89.45610796862393,1.0272,11.8407,delay,severe,0.0
M4,82,8200.0,94.32863328526295,14.1033,16.5511,delay,severe,0.0
M4,83,8300.0,100.47744724534992,4.844,4.1127,delay,severe,0.0
M4,0,0.0,-3.2251593867731017,0.7996,13.2884,dropout,mild,0.06972789115646258
M4,1,100.0,15.539780040124786,15.138,19.7452,dropout,mild,0.06972789115646258
M4,2,200.0,10.993211433882681,15.7933,10.7283,dropout,mild,0.06972789115646258
M4,3,300.0,9.445817892511807,5.2372,12.2688,dropout,mild,0.06972789115646258
M4,4,400.0,19.666602577694913,1.097,4.6418,dropout,mild,0.06972789115646258
M4,5,500.0,14.59494952889513,6.4971,11.3412,dropout,mild,0.06972789115646258
M4,6,600.0,15.773752619006913,6.3891,4.0474,dropout,mild,0.06972789115646258
M4,7,700.0,6.433148184149017,1.2389,1.0744,dropout,mild,0.06972789115646258
M4,8,800.0,11.037020423193,9.289,11.5016,dropout,mild,0.06972789115646258
M4,9,900.0,18.30797553748694,7.1671,17.2732,dropout,mild,0.06972789115646258
M4,10,1000.0,21.02977076739731,8.9474,8.7622,dropout,mild,0.06972789115646258
M4,11,1100.0,20.172458267849706,10.51,1.1291,dropout,mild,0.06972789115646258
M4,12,1200.0,9.232686659239732,5.8735,12.9286,dropout,mild,0.06972789115646258
