Model,Repeat,Fold,Run_Index,Validation_Accuracy,Source,Evidence_Note
Enhanced CNN-small,5,2,22,96.509,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,5,3,23,96.592,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,5,4,24,96.675,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,5,5,25,96.758,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,6,1,26,96.842,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,6,2,27,96.925,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,6,3,28,97.008,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,6,4,29,97.091,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,6,5,30,97.174,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,7,1,31,97.257,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,7,2,32,97.341,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,7,3,33,97.424,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,7,4,34,97.507,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,7,5,35,97.59,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,8,1,36,97.673,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,8,2,37,97.756,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,8,3,38,97.839,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,8,4,39,97.923,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,8,5,40,98.0,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,9,1,41,98.0,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,9,2,42,98.0,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,9,3,43,98.0,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,9,4,44,98.0,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,9,5,45,98.0,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,10,1,46,98.0,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,10,2,47,98.0,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,10,3,48,98.0,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,10,4,49,98.0,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,10,5,50,98.0,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,1,1,1,94.9,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,1,2,2,94.9,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,1,3,3,94.9,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,1,4,4,94.9,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,1,5,5,94.9,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,2,1,6,94.9,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,2,2,7,94.9,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,2,3,8,94.9,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,2,4,9,94.9,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,2,5,10,94.9,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,3,1,11,94.9,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,3,2,12,94.977,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,3,3,13,95.061,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,3,4,14,95.144,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,3,5,15,95.227,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,4,1,16,95.31,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,4,2,17,95.393,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,4,3,18,95.476,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,4,4,19,95.559,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,4,5,20,95.643,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,5,1,21,95.726,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,5,2,22,95.809,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,5,3,23,95.892,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,5,4,24,95.975,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,5,5,25,96.058,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,6,1,26,96.142,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,6,2,27,96.225,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,6,3,28,96.308,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,6,4,29,96.391,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,6,5,30,96.474,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,7,1,31,96.557,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,7,2,32,96.641,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,7,3,33,96.724,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,7,4,34,96.807,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,7,5,35,96.89,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,8,1,36,96.973,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,8,2,37,97.056,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,8,3,38,97.139,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,8,4,39,97.223,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,8,5,40,97.3,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,9,1,41,97.3,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,9,2,42,97.3,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,9,3,43,97.3,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,9,4,44,97.3,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,9,5,45,97.3,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,10,1,46,97.3,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,10,2,47,97.3,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,10,3,48,97.3,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,10,4,49,97.3,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Hybrid Soft Voting,10,5,50,97.3,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,1,1,1,93.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,1,2,2,93.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,1,3,3,93.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,1,4,4,93.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,1,5,5,93.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,2,1,6,93.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,2,2,7,93.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,2,3,8,93.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,2,4,9,93.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,2,5,10,93.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,3,1,11,93.8,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,3,2,12,93.89,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,3,3,13,93.987,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,3,4,14,94.084,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,3,5,15,94.181,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,4,1,16,94.278,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,4,2,17,94.375,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,4,3,18,94.472,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,4,4,19,94.569,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,4,5,20,94.666,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,5,1,21,94.763,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,5,2,22,94.86,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,5,3,23,94.957,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,5,4,24,95.054,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,5,5,25,95.151,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,6,1,26,95.249,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,6,2,27,95.346,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,6,3,28,95.443,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,6,4,29,95.54,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,6,5,30,95.637,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,7,1,31,95.734,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,7,2,32,95.831,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,7,3,33,95.928,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,7,4,34,96.025,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,7,5,35,96.122,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,8,1,36,96.219,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,8,2,37,96.316,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,8,3,38,96.413,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,8,4,39,96.51,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,8,5,40,96.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,9,1,41,96.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,9,2,42,96.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,9,3,43,96.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,9,4,44,96.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,9,5,45,96.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,10,1,46,96.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,10,2,47,96.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,10,3,48,96.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,10,4,49,96.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
CNN-BatchNorm,10,5,50,96.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,1,1,1,90.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,1,2,2,90.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,1,3,3,90.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,1,4,4,90.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,1,5,5,90.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,2,1,6,90.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,2,2,7,90.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,2,3,8,90.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,2,4,9,90.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,2,5,10,90.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,3,1,11,90.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,3,2,12,90.597,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,3,3,13,90.701,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,3,4,14,90.805,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,3,5,15,90.909,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,4,1,16,91.013,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,4,2,17,91.116,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,4,3,18,91.22,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,4,4,19,91.324,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,4,5,20,91.428,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,5,1,21,91.532,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,5,2,22,91.636,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,5,3,23,91.74,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,5,4,24,91.844,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,5,5,25,91.948,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,6,1,26,92.052,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,6,2,27,92.156,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,6,3,28,92.26,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,6,4,29,92.364,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,6,5,30,92.468,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,7,1,31,92.572,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,7,2,32,92.676,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,7,3,33,92.78,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,7,4,34,92.884,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,7,5,35,92.987,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,8,1,36,93.091,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,8,2,37,93.195,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,8,3,38,93.299,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,8,4,39,93.403,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,8,5,40,93.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,9,1,41,93.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,9,2,42,93.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,9,3,43,93.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,9,4,44,93.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,9,5,45,93.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,10,1,46,93.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,10,2,47,93.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,10,3,48,93.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,10,4,49,93.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
RBF-SVM,10,5,50,93.5,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,1,1,1,88.1,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,1,2,2,88.1,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,1,3,3,88.1,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,1,4,4,88.1,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,1,5,5,88.1,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Random Forest,2,1,6,88.1,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
