timestamp,risk_score,anomaly_score,risk_level,event_label
2026-01-01 11:50:00,0.0102,0.0165,low,0
2026-01-01 11:55:00,0.098,0.0678,low,0
2026-01-01 12:00:00,0.0078,0.0664,low,0
2026-01-01 12:05:00,0.0539,0.0807,low,0
2026-01-01 12:10:00,0.0097,0.0589,low,0
2026-01-01 12:15:00,0.0421,0.0732,low,0
2026-01-01 12:20:00,0.0324,0.0606,low,0
2026-01-01 12:25:00,0.0243,0.0,low,0
2026-01-01 12:30:00,0.0209,0.0415,low,0
2026-01-01 12:35:00,0.0409,0.12,low,0
2026-01-01 12:40:00,0.0,0.0,low,0
2026-01-01 12:45:00,0.0268,0.0599,low,0
2026-01-01 12:50:00,0.0,0.019,low,0
2026-01-01 12:55:00,0.0383,0.079,low,0
2026-01-01 13:00:00,0.0081,0.0434,low,0
2026-01-01 13:05:00,0.01,0.1374,low,0
2026-01-01 13:10:00,0.0,0.0853,low,0
2026-01-01 13:15:00,0.0089,0.0,low,0
2026-01-01 13:20:00,0.0,0.0936,low,0
2026-01-01 13:25:00,0.0,0.0213,low,0
2026-01-01 13:30:00,0.0815,0.0597,low,0
2026-01-01 13:35:00,0.0,0.0757,low,0
2026-01-01 13:40:00,0.0,0.0354,low,0
2026-01-01 13:45:00,0.0223,0.1124,low,0
2026-01-01 13:50:00,0.0294,0.0316,low,0
2026-01-01 13:55:00,0.0,0.0291,low,0
2026-01-01 14:00:00,0.0051,0.029,low,0
2026-01-01 14:05:00,0.0539,0.0506,low,0
2026-01-01 14:10:00,0.0592,0.1357,low,0
2026-01-01 14:15:00,0.0,0.0914,low,0
2026-01-01 14:20:00,0.0466,0.1618,low,0
2026-01-01 14:25:00,0.0,0.1734,low,0
2026-01-01 14:30:00,0.0104,0.0121,low,0
2026-01-01 14:35:00,0.0558,0.083,low,0
2026-01-01 14:40:00,0.0306,0.0119,low,0
2026-01-01 14:45:00,0.1757,0.0826,low,0
2026-01-01 14:50:00,0.0775,0.0556,low,0
2026-01-01 14:55:00,0.0,0.0071,low,0
2026-01-01 15:00:00,0.0036,0.0087,low,0
2026-01-01 15:05:00,0.0,0.0528,low,0
2026-01-01 15:10:00,0.0443,0.0147,low,0
2026-01-01 15:15:00,0.0,0.1021,low,0
2026-01-01 15:20:00,0.0583,0.0345,low,0
2026-01-01 15:25:00,0.0,0.2005,low,0
2026-01-01 15:30:00,0.0,0.0374,low,0
2026-01-01 15:35:00,0.0078,0.0663,low,0
2026-01-01 15:40:00,0.0059,0.0,low,0
2026-01-01 15:45:00,0.1968,0.2142,low,0
2026-01-01 15:50:00,0.0,0.116,low,0
2026-01-01 15:55:00,0.0643,0.0974,low,0
2026-01-01 16:00:00,0.0545,0.0117,low,0
2026-01-01 16:05:00,0.0609,0.0919,low,0
2026-01-01 16:10:00,0.0571,0.0239,low,0
2026-01-01 16:15:00,0.0294,0.1434,low,0
2026-01-01 16:20:00,0.0,0.1005,low,0
2026-01-01 16:25:00,0.1182,0.1061,low,0
2026-01-01 16:30:00,0.0,0.0,low,0
2026-01-01 16:35:00,0.0266,0.0201,low,0
2026-01-01 16:40:00,0.0,0.0944,low,0
2026-01-01 16:45:00,0.0918,0.1528,low,0
2026-01-01 16:50:00,0.0777,0.1427,low,0
2026-01-01 16:55:00,0.0157,0.0,low,0
2026-01-01 17:00:00,0.1463,0.1263,low,0
2026-01-01 17:05:00,0.004,0.1122,low,0
2026-01-01 17:10:00,0.0784,0.0045,low,0
2026-01-01 17:15:00,0.0132,0.0642,low,0
2026-01-01 17:20:00,0.0261,0.0828,low,0
2026-01-01 17:25:00,0.0017,0.0456,low,0
2026-01-01 17:30:00,0.034,0.0,low,0
2026-01-01 17:35:00,0.0101,0.0473,low,0
2026-01-01 17:40:00,0.0493,0.0609,low,0
2026-01-01 17:45:00,0.1105,0.0913,low,0
2026-01-01 17:50:00,0.0508,0.0496,low,0
2026-01-01 17:55:00,0.0418,0.0525,low,0
2026-01-01 18:00:00,0.0235,0.0663,low,0
2026-01-01 18:05:00,0.0128,0.0866,low,0
2026-01-01 18:10:00,0.0161,0.0504,low,0
2026-01-01 18:15:00,0.0807,0.0678,low,0
2026-01-01 18:20:00,0.0201,0.0716,low,0
2026-01-01 18:25:00,0.0103,0.0,low,0
2026-01-01 18:30:00,0.0272,0.0934,low,0
2026-01-01 18:35:00,0.0551,0.0793,low,0
2026-01-01 18:40:00,0.0027,0.0629,low,0
2026-01-01 18:45:00,0.0408,0.1223,low,0
2026-01-01 18:50:00,0.067,0.0,low,0
2026-01-01 18:55:00,0.0339,0.0,low,0
2026-01-01 19:00:00,0.0097,0.0771,low,0
2026-01-01 19:05:00,0.0,0.0596,low,0
2026-01-01 19:10:00,0.0365,0.0813,low,0
2026-01-01 19:15:00,0.0696,0.0612,low,0
2026-01-01 19:20:00,0.049,0.1104,low,0
2026-01-01 19:25:00,0.0,0.1066,low,0
2026-01-01 19:30:00,0.0795,0.112,low,0
2026-01-01 19:35:00,0.0321,0.0582,low,0
2026-01-01 19:40:00,0.049,0.0,low,0
2026-01-01 19:45:00,0.0007,0.0987,low,0
2026-01-01 19:50:00,0.0,0.1211,low,0
2026-01-01 19:55:00,0.0239,0.1006,low,0
2026-01-01 20:00:00,0.0322,0.0273,low,0
2026-01-01 20:05:00,0.0469,0.1101,low,0
2026-01-01 20:10:00,0.065,0.1258,low,0
2026-01-01 20:15:00,0.0198,0.1449,low,0
2026-01-01 20:20:00,0.0567,0.036,low,0
2026-01-01 20:25:00,0.0166,0.0545,low,0
2026-01-01 20:30:00,0.0789,0.125,low,0
2026-01-01 20:35:00,0.0351,0.0752,low,0
2026-01-01 20:40:00,0.0429,0.0191,low,0
2026-01-01 20:45:00,0.0133,0.0854,low,0
2026-01-01 20:50:00,0.0,0.0889,low,0
2026-01-01 20:55:00,0.0,0.0644,low,0
2026-01-01 21:00:00,0.0319,0.0821,low,0
2026-01-01 21:05:00,0.0106,0.0508,low,0
2026-01-01 21:10:00,0.0078,0.1366,low,0
2026-01-01 21:15:00,0.0277,0.0247,low,0
2026-01-01 21:20:00,0.0088,0.0337,low,0
2026-01-01 21:25:00,0.0,0.0605,low,0
2026-01-01 21:30:00,0.0669,0.1274,low,0
2026-01-01 21:35:00,0.0387,0.0,low,0
2026-01-01 21:40:00,0.0173,0.0005,low,0
2026-01-01 21:45:00,0.0,0.0,low,0
2026-01-01 21:50:00,0.1249,0.1054,low,0
2026-01-01 21:55:00,0.0,0.0041,low,0
2026-01-01 22:00:00,0.0031,0.0419,low,0
2026-01-01 22:05:00,0.0087,0.0961,low,0
2026-01-01 22:10:00,0.0673,0.0515,low,0
2026-01-01 22:15:00,0.0056,0.0735,low,0
2026-01-01 22:20:00,0.0,0.045,low,0
2026-01-01 22:25:00,0.1487,0.1457,low,0
2026-01-01 22:30:00,0.0314,0.0948,low,0
2026-01-01 22:35:00,0.0739,0.0513,low,0
2026-01-01 22:40:00,0.0189,0.0582,low,0
2026-01-01 22:45:00,0.0904,0.1438,low,0
2026-01-01 22:50:00,0.014,0.0846,low,0
2026-01-01 22:55:00,0.0724,0.0155,low,0
2026-01-01 23:00:00,0.1064,0.13,low,0
2026-01-01 23:05:00,0.1372,0.0538,low,0
2026-01-01 23:10:00,0.032,0.1418,low,0
2026-01-01 23:15:00,0.0269,0.1206,low,0
2026-01-01 23:20:00,0.1312,0.1204,low,0
2026-01-01 23:25:00,0.0846,0.0975,low,0
2026-01-01 23:30:00,0.1537,0.1033,low,0
2026-01-01 23:35:00,0.1539,0.1478,low,0
2026-01-01 23:40:00,0.1056,0.0784,low,0
2026-01-01 23:45:00,0.1975,0.1409,low,0
2026-01-01 23:50:00,0.191,0.1704,low,0
2026-01-01 23:55:00,0.1507,0.0847,low,0
2026-01-02 00:00:00,0.1309,0.075,low,0
2026-01-02 00:05:00,0.0933,0.0329,low,0
2026-01-02 00:10:00,0.2349,0.089,low,0
2026-01-02 00:15:00,0.0707,0.0,low,0
2026-01-02 00:20:00,0.1469,0.1479,low,0
2026-01-02 00:25:00,0.2123,0.2247,low,0
2026-01-02 00:30:00,0.0472,0.1478,low,0
2026-01-02 00:35:00,0.2392,0.0624,low,0
2026-01-02 00:40:00,0.1429,0.1463,low,0
2026-01-02 00:45:00,0.2157,0.2066,low,0
2026-01-02 00:50:00,0.2943,0.1402,low,0
2026-01-02 00:55:00,0.207,0.1375,low,0
2026-01-02 01:00:00,0.2504,0.0472,low,0
2026-01-02 01:05:00,0.1061,0.1105,low,0
2026-01-02 01:10:00,0.396,0.1454,low,0
2026-01-02 01:15:00,0.2859,0.17,low,0
2026-01-02 01:20:00,0.2831,0.081,low,0
2026-01-02 01:25:00,0.2647,0.1798,low,0
2026-01-02 01:30:00,0.2592,0.2019,low,0
2026-01-02 01:35:00,0.1306,0.0665,low,0
2026-01-02 01:40:00,0.3638,0.1305,low,0
2026-01-02 01:45:00,0.2332,0.0338,low,0
2026-01-02 01:50:00,0.2628,0.1387,low,0
2026-01-02 01:55:00,0.3287,0.146,low,0
2026-01-02 02:00:00,0.2891,0.0836,low,0
2026-01-02 02:05:00,0.3627,0.2096,low,0
2026-01-02 02:10:00,0.3087,0.1456,low,0
2026-01-02 02:15:00,0.3702,0.1358,low,0
2026-01-02 02:20:00,0.307,0.1397,low,0
2026-01-02 02:25:00,0.4413,0.268,moderate,0
2026-01-02 02:30:00,0.3037,0.1964,low,1
2026-01-02 02:35:00,0.2915,0.1555,low,0
2026-01-02 02:40:00,0.3563,0.2157,low,1
2026-01-02 02:45:00,0.423,0.15,moderate,1
2026-01-02 02:50:00,0.3783,0.194,low,1
2026-01-02 02:55:00,0.5617,0.264,moderate,1
2026-01-02 03:00:00,0.4846,0.2061,moderate,1
2026-01-02 03:05:00,0.531,0.2676,moderate,1
2026-01-02 03:10:00,0.6288,0.241,high,1
2026-01-02 03:15:00,0.6162,0.3012,moderate,1
2026-01-02 03:20:00,0.508,0.2654,moderate,1
2026-01-02 03:25:00,0.6432,0.1393,high,1
2026-01-02 03:30:00,0.655,0.3488,high,1
2026-01-02 03:35:00,0.6494,0.1349,high,1
2026-01-02 03:40:00,0.5045,0.2058,moderate,1
2026-01-02 03:45:00,0.5342,0.2982,moderate,1
2026-01-02 03:50:00,0.7084,0.2921,high,1
2026-01-02 03:55:00,0.5306,0.1724,moderate,1
